Entry	Gene Names	RefSeq
B8I3T3	ispE Ccel_0022	WP_012634477.1;
B8I3U1	acpS Ccel_0030	WP_012634485.1;
B8I3U9	def Ccel_0038	WP_012634493.1;
B8I3V4	Ccel_0043	WP_012634498.1;
B8I3W2	sbcD Ccel_0051	WP_012634506.1;
B8I3W6	rpsF Ccel_0055	WP_012634510.1;
B8I3W7	Ccel_0056	WP_012634511.1;
B8I3W8	rpsR Ccel_0057	WP_004619077.1;
B8I3X2	nrdR Ccel_2059	WP_015925507.1;
B8I3X4	Ccel_2061	WP_015925509.1;
B8I3X5	Ccel_2062	WP_015925510.1;
B8I3X6	Ccel_2063	WP_015925511.1;
B8I3X8	ftsA Ccel_2065	WP_015925513.1;
B8I3Y6	coaE Ccel_2074	WP_015925521.1;
B8I3Y7	polA Ccel_2075	WP_015925522.1;
B8I3Y8	Ccel_2076	WP_015925523.1;
B8I406	rpsU Ccel_2094	WP_004622093.1;
B8I413	Ccel_2101	WP_015925547.1;
B8I414	Ccel_2102	WP_015925548.1;
B8I415	Ccel_2103	WP_015925549.1;
B8I417	Ccel_2105	WP_015925551.1;
B8I418	Ccel_2106	WP_015925552.1;
B8I419	Ccel_2107	WP_015925553.1;
B8I425	Ccel_2113	WP_015925558.1;
B8I434	Ccel_2123	
B8I442	der engA Ccel_2131	WP_015925575.1;
B8I445	rpmF Ccel_2134	WP_004622625.1;
B8I448	Ccel_2137	WP_015925579.1;
B8I449	Ccel_2138	
B8I451	Ccel_2140	WP_015925582.1;
B8I455	Ccel_2145	WP_015925586.1;
B8I473	Ccel_2164	WP_015925601.1;
B8I476	mtaD Ccel_2167	
B8I481	Ccel_2172	WP_015925609.1;
B8I485	Ccel_2176	WP_015925613.1;
B8I489	purD Ccel_2180	WP_015925617.1;
B8I494	purE Ccel_2185	WP_015925622.1;
B8I4A9	rpsR Ccel_0075	WP_012634529.1;
B8I4B2	pheA Ccel_0078	WP_012634532.1;
B8I4B4	Ccel_0080	WP_012634534.1;
B8I4B5	rplI Ccel_0081	WP_012634535.1;
B8I4B6	Ccel_0082	WP_012634536.1;
B8I4B7	tilS Ccel_0083	
B8I4C9	flgK Ccel_0095	WP_012634549.1;
